#,,"generated_by='OpenQuake engine 3.24.1', start_date='2026-03-04T10:33:37', checksum=3862909754"
custom_site_id,lon,lat
rb5m909f,173.36700,-44.03000
rb5m928d,173.37600,-44.03000
rb5m92x4,173.38500,-44.03000
rb5m98td,173.39400,-44.03000
rb4mtd5z,172.16100,-44.02100
rb4mtf4r,172.17000,-44.02100
rb4mw40z,172.17900,-44.02100
rb4mw4pr,172.18800,-44.02100
rb4mw6np,172.19700,-44.02100
rb4mwdhx,172.20600,-44.02100
rb4mwf5p,172.21500,-44.02100
rb4mx41x,172.22400,-44.02100
rb4mx60p,172.23300,-44.02100
rb4mx6nz,172.24200,-44.02100
rb4mxdjr,172.25100,-44.02100
rb4mxf5z,172.26000,-44.02100
rb4t844r,172.26900,-44.02100
rb4t861p,172.27800,-44.02100
rb4t86px,172.28700,-44.02100
rb4t8dnp,172.29600,-44.02100
rb4t8fhx,172.30500,-44.02100
rb4t945p,172.31400,-44.02100
rb4t961z,172.32300,-44.02100
rb4t9d0r,172.33200,-44.02100
rb4t9dnz,172.34100,-44.02100
rb4t9fjr,172.35000,-44.02100
rb4td45z,172.35900,-44.02100
rb4td64x,172.36800,-44.02100
rb4tdd1p,172.37700,-44.02100
rb4tddpx,172.38600,-44.02100
rb4tdfnp,172.39500,-44.02100
rb4te4hz,172.40400,-44.02100
rb4te65r,172.41300,-44.02100
rb4ted1z,172.42200,-44.02100
rb4tef0r,172.43100,-44.02100
rb4tefnz,172.44000,-44.02100
rb4ts4jx,172.44900,-44.02100
rb4ts6hp,172.45800,-44.02100
rb4tsd4x,172.46700,-44.02100
rb4tsf1p,172.47600,-44.02100
rb4tsfpx,172.48500,-44.02100
rb4tt4nr,172.49400,-44.02100
rb4tt6hz,172.50300,-44.02100
rb4ttd5r,172.51200,-44.02100
rb4ttf1z,172.52100,-44.02100
rb4tw40x,172.53000,-44.02100
rb4tw4pp,172.53900,-44.02100
rb4tw6jx,172.54800,-44.02100
rb4twdhp,172.55700,-44.02100
rb4twf4x,172.56600,-44.02100
rb4tx41r,172.57500,-44.02100
rb4tx4pz,172.58400,-44.02100
rb4tx6nr,172.59300,-44.02100
rb4txdhz,172.60200,-44.02100
rb4txf5r,172.61100,-44.02100
rb4v844p,172.62000,-44.02100
rb4v860x,172.62900,-44.02100
rb4v86pp,172.63800,-44.02100
rb4v8djx,172.64700,-44.02100
rb4v8fhr,172.65600,-44.02100
rb4v944z,172.66500,-44.02100
rb4v961r,172.67400,-44.02100
rb4v96pz,172.68300,-44.02100
rb4v9dnr,172.69200,-44.02100
rb4v9fjp,172.70100,-44.02100
rb4vd45x,172.71000,-44.02100
rb4vd64p,172.71900,-44.02100
rb4vdd0x,172.72800,-44.02100
rb4vddpp,172.73700,-44.02100
rb4vdfjz,172.74600,-44.02100
rb4ve4hr,172.75500,-44.02100
rb4ve64z,172.76400,-44.02100
rb4ved1r,172.77300,-44.02100
rb4vef0p,172.78200,-44.02100
rb4vefnx,172.79100,-44.02100
rb4vs4jp,172.80000,-44.02100
rb4vs65x,172.80900,-44.02100
rb4vsd4p,172.81800,-44.02100
rb4vsf0z,172.82700,-44.02100
rb4vsfpr,172.83600,-44.02100
rb4vt4jz,172.84500,-44.02100
rb4vt6hr,172.85400,-44.02100
rb4vtd4z,172.86300,-44.02100
rb4vtf1x,172.87200,-44.02100
rb4vw40p,172.88100,-44.02100
rb4vw4nx,172.89000,-44.02100
rb4vw6jp,172.89900,-44.02100
rb4vwd5z,172.90800,-44.02100
rb4vwf4r,172.91700,-44.02100
rb4vx40z,172.92600,-44.02100
rb4vx4pr,172.93500,-44.02100
rb4vx6jz,172.94400,-44.02100
