#,,,,,,,,"generated_by='OpenQuake engine 3.24.1', start_date='2026-03-04T10:33:37', checksum=3862909754"
sids,lon,lat,depth,vs30,vs30measured,z1pt0,z2pt5,custom_site_id
136,173.38500,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5m3mr1
137,173.39400,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5m3tm9
138,172.16100,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mmwgy
139,172.17000,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mmyfq
140,172.17900,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mqnby
141,172.18800,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mqnzq
142,172.19700,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mqqyn
143,172.20600,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mqwuw
144,172.21500,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mqygn
145,172.22400,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mrncw
146,172.23300,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mrqbn
147,172.24200,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mrqyy
148,172.25100,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mrwvq
149,172.26000,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mrygy
150,172.26900,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t2nfq
151,172.27800,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t2qcn
152,172.28700,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t2qzw
153,172.29600,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t2wyn
154,172.30500,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t2yuw
155,172.31400,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t3ngn
156,172.32300,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t3qcy
157,172.33200,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t3wbq
158,172.34100,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t3wyy
159,172.35000,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t3yvq
160,172.35900,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t6ngy
161,172.36800,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t6qfw
162,172.37700,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t6wcn
163,172.38600,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t6wzw
164,172.39500,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t6yyn
165,172.40400,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t7nuy
166,172.41300,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t7qgq
167,172.42200,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t7wcy
168,172.43100,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t7ybq
169,172.44000,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t7yyy
170,172.44900,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4tknvw
171,172.45800,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4tkqun
172,172.46700,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4tkwfw
173,172.47600,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4tkycn
174,172.48500,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4tkyzw
175,172.49400,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4tmnyq
176,172.50300,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4tmquy
177,172.51200,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4tmwgq
178,172.52100,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4tmycy
179,172.53000,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4tqnbw
